"date","geography","value_type","value"
2020-04-10,"South East","icu_prev",338
2020-04-10,"South West","hospital_prev",861
2020-04-10,"South West","icu_prev",125
2020-04-11,"East of England","hospital_inc",165
2020-04-11,"England","hospital_inc",1955
2020-04-11,"London","hospital_inc",490
2020-04-11,"Midlands","hospital_inc",335
2020-04-11,"North East and Yorkshire","hospital_inc",290
2020-04-11,"North West","hospital_inc",313
2020-04-11,"South East","hospital_inc",235
2020-04-11,"South West","hospital_inc",127
2020-04-11,"East of England","hospital_prev",1214
2020-04-11,"East of England","icu_prev",283
2020-04-11,"England","hospital_prev",15739
2020-04-11,"England","icu_prev",2865
2020-04-11,"London","hospital_prev",3875
2020-04-11,"London","icu_prev",1035
2020-04-11,"Midlands","hospital_prev",2927
2020-04-11,"Midlands","icu_prev",469
2020-04-11,"North East and Yorkshire","hospital_prev",2218
2020-04-11,"North East and Yorkshire","icu_prev",302
2020-04-11,"North West","hospital_prev",2703
2020-04-11,"North West","icu_prev",305
2020-04-11,"South East","hospital_prev",1935
2020-04-11,"South East","icu_prev",350
2020-04-11,"South West","hospital_prev",867
2020-04-11,"South West","icu_prev",121
2020-04-12,"East of England","hospital_inc",144
2020-04-12,"England","hospital_inc",1791
2020-04-12,"London","hospital_inc",384
2020-04-12,"Midlands","hospital_inc",303
2020-04-12,"North East and Yorkshire","hospital_inc",309
2020-04-12,"North West","hospital_inc",294
2020-04-12,"South East","hospital_inc",228
2020-04-12,"South West","hospital_inc",129
2020-04-12,"East of England","hospital_prev",1388
2020-04-12,"East of England","icu_prev",291
2020-04-12,"England","hospital_prev",16093
2020-04-12,"England","icu_prev",2881
2020-04-12,"London","hospital_prev",3896
2020-04-12,"London","icu_prev",1035
2020-04-12,"Midlands","hospital_prev",2955
2020-04-12,"Midlands","icu_prev",475
2020-04-12,"North East and Yorkshire","hospital_prev",2243
2020-04-12,"North East and Yorkshire","icu_prev",298
2020-04-12,"North West","hospital_prev",2711
2020-04-12,"North West","icu_prev",303
2020-04-12,"South East","hospital_prev",1989
2020-04-12,"South East","icu_prev",353
2020-04-12,"South West","hospital_prev",911
2020-04-12,"South West","icu_prev",126
2020-04-13,"East of England","hospital_inc",214
2020-04-13,"England","hospital_inc",1912
2020-04-13,"London","hospital_inc",416
2020-04-13,"Midlands","hospital_inc",333
2020-04-13,"North East and Yorkshire","hospital_inc",305
2020-04-13,"North West","hospital_inc",304
2020-04-13,"South East","hospital_inc",227
2020-04-13,"South West","hospital_inc",113
2020-04-13,"East of England","hospital_prev",1207
2020-04-13,"East of England","icu_prev",264
2020-04-13,"England","hospital_prev",15749
2020-04-13,"England","icu_prev",2872
2020-04-13,"London","hospital_prev",3753
2020-04-13,"London","icu_prev",1046
2020-04-13,"Midlands","hospital_prev",2831
2020-04-13,"Midlands","icu_prev",485
2020-04-13,"North East and Yorkshire","hospital_prev",2277
2020-04-13,"North East and Yorkshire","icu_prev",300
2020-04-13,"North West","hospital_prev",2750
2020-04-13,"North West","icu_prev",315
2020-04-13,"South East","hospital_prev",2004
2020-04-13,"South East","icu_prev",342
2020-04-13,"South West","hospital_prev",927
2020-04-13,"South West","icu_prev",120
2020-04-14,"East of England","hospital_inc",187
2020-04-14,"England","hospital_inc",1859
2020-04-14,"London","hospital_inc",447
2020-04-14,"Midlands","hospital_inc",359
2020-04-14,"North East and Yorkshire","hospital_inc",306
2020-04-14,"North West","hospital_inc",269
2020-04-14,"South East","hospital_inc",185
2020-04-14,"South West","hospital_inc",106
2020-04-14,"East of England","hospital_prev",1289
2020-04-14,"East of England","icu_prev",303
2020-04-14,"England","hospital_prev",15703
2020-04-14,"England","icu_prev",2849
