org_code,trustname,nat_group,geog_code,add_1,add_2,add_3,add_4,add_5,postcode,open_date,close_date,gor_code,ignore1,ingore2,nhs_region
rxt,birmingham_and_solihull_mental_health_nhs_foundation_trust,y55,q77,unit_1,50_summer_hill_road,,birmingham,west_midlands,b13rb,20030401,NA,f,Q77,05L,midlands
rq3,birmingham_children_s_hospital_nhs_foundation_trust,y55,q77,steelhouse_lane,,,birmingham,west_midlands,b46nh,19950401,NA,f,Q77,15E,midlands
ryw,birmingham_community_healthcare_nhs_foundation_trust,y55,q77,3_priestley_wharf,holt_street,birmingham_science_park_aston,birmingham,west_midlands,b74bn,20101101,NA,f,Q77,15E,midlands
rlu,birmingham_women_s_and_children_s_nhs_foundation_trust,y55,q77,birmingham_womens_hospital,metchley_park_road,,birmingham,west_midlands,b152tg,19940401,NA,f,Q77,15E,midlands
,black_country_healthcare_nhs_foundation_trust,,,,,,,,,,,,,,midlands
rxl,blackpool_teaching_hospitals_nhs_foundation_trust,y54,q84,victoria_hospital,whinney_heys_road,,blackpool,lancashire,fy38nr,20020401,NA,b,Q84,00R,north_west
rmc,bolton_nhs_foundation_trust,y54,q83,the_royal_bolton_hospital,minerva_road,farnworth,bolton,lancashire,bl40jr,19940401,NA,b,Q83,00T,north_west
rae,bradford_teaching_hospitals_nhs_foundation_trust,y54,q72,bradford_royal_infirmary,duckworth_lane,,bradford,west_yorkshire,bd96rj,19910401,NA,d,Q72,02R,north_east_and_yorkshire
,bradford_district_care_nhs_foundation_trust,y54,q72,bradford_royal_infirmary,duckworth_lane,,bradford,west_yorkshire,bd96rj,19910401,NA,d,Q72,02R,north_east_and_yorkshire
ry2,bridgewater_community_healthcare_nhs_foundation_trust,y54,q83,bevan_house,17_beecham_court,,wigan,lancashire,wn36pr,20101101,NA,b,Q83,02H,north_west
rxh,brighton_and_sussex_university_hospitals_nhs_trust,y57,q81,royal_sussex_county_hospital,eastern_road,,brighton,east_sussex,bn25be,20020401,NA,j,Q88,09D,south_east
rxq,buckinghamshire_healthcare_nhs_trust,y57,q82,amersham_hospital,whielden_street,,amersham,buckinghamshire,hp70jd,20030401,NA,j,Q87,14Y,south_east
rjf,burton_hospitals_nhs_foundation_trust,y55,q76,queen_s_hospital,belvedere_road,,burton_on_trent,staffordshire,de130rb,19930401,NA,e,Q76,05D,midlands
rwy,calderdale_and_huddersfield_nhs_foundation_trust,y54,q72,royal_infirmary,acre_street,,huddersfield,west_yorkshire,hd33ea,20010401,NA,d,Q72,03A,north_east_and_yorkshire
rjx,calderstones_partnership_nhs_foundation_trust,y54,q84,mitton_road,,whalley,clitheroe,lancashire,bb79pe,19930401,NA,b,Q84,01A,north_west
rgt,cambridge_university_hospitals_nhs_foundation_trust,y55,q79,addenbrookes_hospital,hills_road,,cambridge,cambridgeshire,cb20qq,19930401,NA,g,Q79,06H,east_of_england
rt1,cambridgeshire_and_peterborough_nhs_foundation_trust,y55,q79,elizabeth_house_fulbourn_hospital,cambridge_road,fulbourn,cambridge,cambridgeshire,cb215ef,20020401,NA,g,Q79,06H,east_of_england
ryv,cambridgeshire_community_services_nhs_trust,y55,q79,unit_3,meadow_lane,,st_ives,cambridgeshire,pe274lg,20100401,NA,g,Q79,06H,east_of_england
,camden_and_islington_nhs_foundation_trust,,,,,,,,,,,,,,london
